time;message;logger;level;description
2015-03-28 17:38:32.6065;Не зарегестрированый пользователь Microsoft.AspNet.Identity.UserLoginInfo ekbslayn@gmail.com System.Security.Claims.ClaimsIdentity, пытается получить доступ;WebMTHR.Controllers.AccountController;Warn;
2015-03-28 17:40:08.1383;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 17:40:08.2494;Ошибка отправки сообщений таймер остановлен, проверте доступ к файлу шаблона и перезапустите службу;WebMTHR.EmailSender.EmailSenderMTHR;Error;"System.IO.FileNotFoundException: Файл 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm' не найден.
Имя файла: 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm'
   в System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   в System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.StreamReader..ctor(String path, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean checkHost)
   в System.IO.File.InternalReadAllText(String path, Encoding encoding, Boolean checkHost)
   в System.IO.File.ReadAllText(String path, Encoding encoding)
   в WebMTHR.EmailSender.SenderUtils.GetTemplate(String nameTemplate) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SenderUtils.cs:строка 19
   в WebMTHR.EmailSender.SendMailFirst..ctor(ISenderParam param) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SendMailFirst.cs:строка 44
   в WebMTHR.EmailSender.EmailSenderMTHR.TimerCall(Object state) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\EmailSenderMTHR.cs:строка 35"
2015-03-28 17:45:28.7944;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 17:47:15.7195;Не зарегестрированый пользователь Microsoft.AspNet.Identity.UserLoginInfo ekbslayn@gmail.com System.Security.Claims.ClaimsIdentity, пытается получить доступ;WebMTHR.Controllers.AccountController;Warn;
2015-03-28 17:48:31.2042;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 17:48:31.2672;Ошибка отправки сообщений таймер остановлен, проверте доступ к файлу шаблона и перезапустите службу;WebMTHR.EmailSender.EmailSenderMTHR;Error;"System.IO.FileNotFoundException: Файл 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm' не найден.
Имя файла: 'C:\Program Files (x86)\IIS Express\TaskNotificationTemplate.htm'
   в System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   в System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   в System.IO.StreamReader..ctor(String path, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean checkHost)
   в System.IO.File.InternalReadAllText(String path, Encoding encoding, Boolean checkHost)
   в System.IO.File.ReadAllText(String path, Encoding encoding)
   в WebMTHR.EmailSender.SenderUtils.GetTemplate(String nameTemplate) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SenderUtils.cs:строка 19
   в WebMTHR.EmailSender.SendMailFirst..ctor(ISenderParam param) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\SendMailFirst.cs:строка 44
   в WebMTHR.EmailSender.EmailSenderMTHR.TimerCall(Object state) в c:\Users\Руслан\Desktop\MTAHR\WebMTHR\EmailSender\EmailSenderMTHR.cs:строка 35"
2015-03-28 18:01:09.4795;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 18:01:39.6108;Не зарегестрированый пользователь Microsoft.AspNet.Identity.UserLoginInfo ekbslayn@gmail.com System.Security.Claims.ClaimsIdentity, пытается получить доступ;WebMTHR.Controllers.AccountController;Warn;
2015-03-28 18:02:24.9001;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 18:02:42.6605;Не зарегестрированый пользователь Microsoft.AspNet.Identity.UserLoginInfo ekbslayn@gmail.com System.Security.Claims.ClaimsIdentity, пытается получить доступ;WebMTHR.Controllers.AccountController;Warn;
2015-03-28 18:04:42.1212;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 20:17:51.5731;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 20:42:21.1761;EmailSenderMTHR иницализирован;WebMTHR.EmailSender.EmailSenderMTHR;Info;
2015-03-28 20:45:36.9668;EmailSenderMTHR запущен первый вызов таймера Task;WebMTHR.EmailSender.EmailSenderMTHR;Info;
